Title,Rating,Votes,Duration
542. Las chicas de la estación,7.2, (80),1h 58m
543. He Ain't Heavy,6.0, (351),1h 42m
544. Top 1,5.6, (189),52m
545. Diamanti,7.0, (981),2h 15m
546. The Lockdown,4.3, (597),1h 57m
547. Blue Lock: Episode Nagi,6.6, (2.4K),1h 31m
548. Salve Maria,6.4, (441),1h 51m
549. Breakup Season,5.8, (303),1h 42m
550. Vaazhai,7.7, (4.7K),2h 14m
551. Block Pass,7.0, (339),1h 44m
552. From Ground Zero,7.9, (503),1h 52m
553. Get Fast,3.6, (438),1h 28m
554. Kiskisan,5.2, (123),1h 2m
555. Chandu Champion,7.8, (34K),2h 22m
556. Guntur Kaaram,5.4, (25K),2h 39m
557. Ellbogen,6.2, (254),1h 26m
558. A Legend,4.7, (863),2h 9m
559. Lubber Pandhu,8.2, (5.9K),2h 26m
560. Allen Sunshine,5.4, (180),1h 30m
561. Sarfira,6.9, (11K),2h 35m
562. A Million Minutes,6.5, (1K),2h 5m
563. Wishing on a Star,6.6, (129),1h 39m
564. Kingsmen,6.3, (46),1h 12m
565. The Damned,5.3, (804),1h 29m
566. Familia,6.8, (271),2h
567. Dilig,4.1, (266),45m
568. We Are Wolves,3.5, (256),1h 37m
569. An Ordinary Case,6.6, (788),1h 55m
570. Dirty Boy,8.4, (19),1h 38m
571. Kanguva,4.5, (14K),2h 32m
572. Waitress,5.5, (77),52m
573. Dhakshina,6.5, (5.2K),1h 47m
