Title,Rating,Votes,Duration
385. Letuchiy korabl,3.8, (291),1h 40m
386. The Immortal Ascension,8.4, (11),N/A
387. Five Friends,6.7, (857),1h 52m
388. Brothers: A Tale of Two Sons Remake,7.2, (104),T
389. Shaman King: Flowers,6.6, (153),N/A
390. The Adventures of Jurassic Pet: Return to the Wild,5.5, (53),1h 30m
391. Unicorn Overlord,8.6, (106),T
392. Bremenskie muzykanty,4.6, (662),1h 55m
393. Demon Slayer: Sweep the Board!,8.4, (46),T
394. Rocky Road to Berlin,7.2, (1.3K),1h 44m
395. On the Roam,6.7, (369),N/A
396. Alan Wake II: The Lake House,7.8, (264),M
397. Boss,4.5, (7),N/A
398. My Undead Yokai Girlfriend,7.1, (536),16+
399. Why Does Nobody Remember Me in This World?,6.2, (750),TV-14
400. OceanXplorers,7.1, (299),N/A
401. Captain Miller,6.5, (8.6K),2h 37m
402. Ultraman Arc,7.1, (148),TV-PG
403. Empire Queen: The Golden Age of Magic,3.2, (204),2h 28m
404. Fluffy Paradise,5.9, (410),TV-PG
405. Earthquake Underground,3.3, (191),1h 23m
406. Run Jin,9.4, (59),N/A
407. Little Emma,5.7, (103),1h 46m
408. The Land of Warriors,8.4, (58),N/A
409. Hain,2.9, (45),1h 35m
410. T-P Bon,6.6, (342),TV-MA
411. Balatro,8.3, (369),E10+
412. Major Grom: The Game,6.1, (1.8K),2h 48m
413. Zak & Wowo: The Legend of Lendarys,5.7, (86),1h 25m
414. White Cat Legend,7.8, (80),TV-PG
415. Kalvan,5.6, (984),2h 22m
416. The Legend of Heroes,7.4, (104),N/A
417. Buddy,3.8, (340),2h 17m
418. Game On,2.6, (347),1h 25m
419. Inside the Enchanted Forests,6.7, (32),N/A
420. The Legend Hunters,5.3, (19),N/A
421. Luz: The Light of the Heart,6.9, (198),TV-Y7
422. Rise of the Witches,7.2, (10),N/A
423. Koi Jaye Toh Le Aaye,N/A,N/A,N/A
424. Gaami,6.4, (2K),2h 27m
425. The Epidemic,5.8, (69),1h 35m
426. Alan Wake II: Night Springs,8.1, (381),M
427. Indika,7.1, (194),M
428. Diving Into the Darkness,9.1, (82),1h 36m
429. Kvitebjørn,5.9, (53),1h 25m
430. Are You Sure?!,8.9, (8.4K),N/A
431. Kamen Rider Gavv,8.1, (192),TV-PG
432. Abudeka Is Back,5.3, (31),2h
433. Duck Detective: The Secret Salami,8.0, (23),E
434. MiSide,7.2, (150),N/A
435. Wuthering Waves,7.8, (178),N/A
436. Dee & Friends in Oz,7.4, (106),TV-Y
437. Amazon Bullseye,5.3, (185),1h 53m
438. Vertical,5.2, (118),1h 51m
439. Teenz,4.4, (861),2h 2m
440. The Charm of Soul Pets,7.6, (19),N/A
441. Tiger Crane,7.1, (9),N/A
442. Jathara,6.4, (1K),2h 9m
443. Formed Police Unit,4.6, (473),2h
444. Powder Pup,6.2, (73),1h 29m
